x,y,frame,year,month,day,hour,radius,max_vort,mean_vort,mean_vort_850,mean_vort_700,mean_vort_500,max_trunc_vort,track_id,mean_u200,mean_u850,mean_skt,mean_land_frac,mcz_tcwv,vortex_depth,over_land,dvo850_dt,acc_land_time,total_land_time,qshear_850,ushear_850,mean_cape,mcz_cape,mean_dthetae_dp_900_750,mean_dthetae_dp_750_500,mean_land_skt,mean_sst,mean_swvl1_grad,mean_swvl2_grad,mean_swvl1,mean_swvl2,olr_90,olr_75,olr_50,qshear_850_background,ushear_850_background,mean_q_850,orography_height,peak_vorticity,reached_peak,mean_prcp_400,mean_prcp_800,max_prcp_400,max_prcp_800,mean_vimfd_400,mean_v200,mean_v500,mean_v850,mean_u500,zonal_speed,merid_speed,mean_prcp_imerg
88.5,16.75,4147,1979,6,22,18,4.5,14.50041199,4.23990345,4.342272282,4.137535095,3.725353241,3.77581358,6761,-10.54638195,10.53147125,303.0355225,0.01,56.94791794,0.817476064,0,0.370988607,0,36,0.004984924,-20.377403,1204.512475,1091.248045,0.041454337,0.00765164,299.86316,303.06888,,,0.29438514,0.28303877,-245.2238915,-222.2353969,-190.2257802,0.005065013,-17.043158,0.015061493,-0.372972539,6.09468317,0,1.478614816,0.75181423,7.830758473,11.50904545,-25.9700976,0.105867967,2.791515827,2.149077892,3.747159719,-2.214383772,6.9375,
88.5,17.25,4153,1979,6,23,0,4.25,16.26750183,5.567792416,5.712934017,5.42264986,3.953331232,4.673898697,6761,-9.983762741,8.824111938,302.968811,0.03,57.30380249,0.656835096,0,0.584655523,0,36,0.003281391,-18.491325,774.7395407,707.3876292,0.036443487,0.014805397,299.27036,303.03534,7.41E-07,7.20E-07,0.2921258,0.27398226,-212.2077085,-171.7020246,-134.2874307,0.003852888,-16.840147,0.015427144,-0.281083357,6.09468317,0,1.634858638,0.87572292,10.26477622,12.00377635,-47.05022765,1.234447956,1.265196085,0.440666556,0.859860897,-2.208483622,4.625,
88.25,17.25,4159,1979,6,23,6,4.25,29.67359734,5.603813171,5.820301533,5.38732481,4.605387688,4.945124626,6761,-10.77407265,9.461333275,303.2104492,0.03,57.73733902,0.732400086,0,0.174376965,0,36,0.00389498,-20.384077,813.3831869,1138.031424,0.034244508,9.33E-05,304.5247,303.05872,5.85E-07,6.95E-07,0.3043005,0.2774452,-208.6543474,-167.9565147,-135.5380437,0.004400624,-15.964505,0.015161551,-1.016196812,6.09468317,0,1.490235508,0.778180631,17.56262313,17.56262313,-34.9377414,-0.884770334,2.83409667,0.68768698,2.803429604,-2.208483622,2.3125,
88.25,17.5,4165,1979,6,23,12,4.25,49.14387512,5.721039772,5.560065746,5.882013798,5.014939308,5.022652626,6761,-12.32309437,8.815771103,302.9779663,0.03,58.55878067,0.954183421,0,0.139309406,0,36,0.004466143,-18.894066,1014.006265,1310.622684,0.038715057,-0.000219007,300.64514,303.0833,4.88E-07,6.17E-07,0.30265972,0.28485927,-253.2511054,-215.3418358,-172.4134057,0.004902119,-15.021518,0.015683426,-0.92430763,6.09468317,0,1.147869291,0.576527392,23.88281838,23.88281838,-21.76313202,-1.397498965,1.59803319,0.729826808,2.955526829,-6.616411346,4.625,
87.5,17.75,4171,1979,6,23,18,4.25,65.76641846,5.943117619,6.275765419,5.610470772,5.477017879,5.223743439,6761,-13.5107069,6.650971889,302.4613342,0.13,59.92659378,0.78020739,0,0.483759165,0,36,0.00373042,-23.68192,954.5017879,1144.912642,0.037185355,0.0054395,298.99066,303.10202,3.19E-07,4.32E-07,0.29878196,0.28738645,-257.1487649,-233.4010419,-179.7297449,0.004769858,-16.034382,0.015799856,0.086473371,6.09468317,0,1.950221713,0.917982161,21.47420048,21.47420048,-36.35803469,-2.207813501,-1.146707654,-1.510645747,-1.884584069,-11.01207643,4.625,
87,18,4177,1979,6,24,0,4.25,45.82378387,6.694162846,6.684136868,6.704190254,5.399907112,5.990170956,6761,-12.84701824,7.141364574,302.33255,0.13,61.54985046,0.810292747,0,0.383716822,0,36,0.002604474,-22.879091,626.5988639,765.1592859,0.030596891,0.009479459,298.43454,303.08026,3.04E-07,2.90E-07,0.29828927,0.2785995,-232.1319481,-192.3776447,-147.2214019,0.003874438,-16.351322,0.015788829,-0.097304993,6.09468317,0,1.560899704,0.908668094,23.93022065,23.93022065,-38.71003046,0.05871081,-1.088332057,-1.205600262,-2.710334778,-10.99659097,4.625,
86.25,18.25,4183,1979,6,24,6,4.25,43.33966064,6.641307831,6.820469856,6.462144852,5.691595078,5.991177082,6761,-12.11394787,3.676881313,302.9934692,0.29,61.38592148,0.790646033,0,-0.143128633,0,36,0.003804625,-22.16177,824.7614453,1227.318341,0.040946286,0.002065876,302.56122,303.10544,2.65E-07,2.54E-07,0.30894464,0.28723994,-240.0214427,-194.3307781,-144.3834724,0.004242832,-15.25657,0.015632326,-0.281083357,6.09468317,0,1.611013414,0.805624805,16.26545103,16.26545103,-32.781878,-0.020857465,2.173615932,-1.445263863,-4.083568096,-17.56943383,6.9375,
85,18.75,4189,1979,6,24,12,4,40.92860413,7.087866306,7.083820343,7.091912746,7.195271492,5.703913689,6761,-12.76457596,5.585470676,301.1980896,0.44,62.92581558,1.01689355,0,-0.037038803,0,36,0.004270095,-22.78377,587.6820488,1139.747851,0.036769015,0.021520971,299.61343,303.11993,2.75E-07,2.60E-07,0.30730075,0.28661767,-280.3175097,-259.2499972,-138.4367317,0.004491735,-14.022613,0.0163654,-1.567531903,6.09468317,0,1.362509802,0.678020238,19.14825344,19.14825344,-30.56744033,-1.282945871,-0.810151219,-2.923558712,-2.549251795,-17.5182074,6.9375,
84.25,19,4195,1979,6,24,18,4,63.66969299,7.339104176,7.731094837,6.947113514,6.404946327,5.917099476,6761,-13.72661209,4.739228725,299.4474182,0.62,64.52166748,0.744454035,1,0.128103971,6,36,0.005854852,-29.774601,435.5001982,780.5358571,0.042296157,0.019032665,297.71103,303.11795,2.66E-07,2.90E-07,0.32107174,0.2948647,-277.889194,-263.111961,-152.2592963,0.004475489,-14.604949,0.016046466,440.7869897,6.09468317,0,1.593069933,0.732211887,22.58499915,22.58499915,-41.15599281,1.25751996,1.111905336,0.58446306,-3.804181814,-8.746046824,6.9375,
84,19.5,4201,1979,6,25,0,4,32.41598511,7.52487421,7.654666424,7.395081997,6.089117527,5.960121632,6761,-13.37350464,5.457321644,298.6916809,0.7,63.12879562,0.768501662,1,-0.164720058,12,36,0.004792758,-29.135647,345.9119712,673.1984289,0.035610582,0.026720345,297.1738,303.05634,3.11E-07,3.15E-07,0.32720482,0.30876863,-272.929273,-262.3512136,-243.488223,0.003891264,-15.009161,0.016242035,500.1474012,6.09468317,1,1.516190698,0.733856096,14.37680209,14.37680209,-26.52552087,1.422813296,1.246067882,-1.300941944,-2.957480192,-6.539575344,4.625,
